date,name,value
2012-04-30,redis/redis,4630
2012-05-31,redis/redis,4689
2012-06-30,redis/redis,4735
2012-07-31,redis/redis,4791
2012-08-31,redis/redis,4817
2012-09-30,redis/redis,4838
2012-10-31,redis/redis,4854
2012-11-30,redis/redis,4878
2012-12-31,redis/redis,4899
2013-01-31,redis/redis,4914
2013-02-28,redis/redis,5010
2013-03-31,redis/redis,5201
2013-04-30,redis/redis,5361
2013-05-31,redis/redis,5526
2013-06-30,redis/redis,5678
2013-07-31,redis/redis,5853
2013-08-31,redis/redis,6023
2013-09-30,redis/redis,6174
2013-10-31,redis/redis,6393
2013-11-30,redis/redis,6632
2013-12-31,redis/redis,6816
2014-01-31,redis/redis,7001
2014-02-28,redis/redis,7173
2014-03-31,redis/redis,7471
2014-04-30,redis/redis,7797
2014-05-31,redis/redis,8096
2014-06-30,redis/redis,8360
2014-07-31,redis/redis,8643
2014-08-31,redis/redis,8854
2014-09-30,redis/redis,9122
2014-10-31,redis/redis,9457
2014-11-30,redis/redis,9783
2014-12-31,redis/redis,10102
2015-01-31,redis/redis,10479
2015-02-28,redis/redis,10745
2015-03-31,redis/redis,11085
2015-04-30,redis/redis,11524
2015-05-31,redis/redis,11885
2015-06-30,redis/redis,12327
2015-07-31,redis/redis,12697
2015-08-31,redis/redis,13007
2015-09-30,redis/redis,13301
2015-10-31,redis/redis,13641
2015-11-30,redis/redis,14012
2015-12-31,redis/redis,14353
2016-01-31,redis/redis,14729
2016-02-29,redis/redis,15024
2016-03-31,redis/redis,15464
2016-04-30,redis/redis,15861
2016-05-31,redis/redis,16329
2016-06-30,redis/redis,16714
2016-07-31,redis/redis,17133
2016-08-31,redis/redis,17627
2016-09-30,redis/redis,18013
2016-10-31,redis/redis,18431
2016-11-30,redis/redis,18796
2016-12-31,redis/redis,19196
2017-01-31,redis/redis,19546
2017-02-28,redis/redis,19945
2017-03-31,redis/redis,20565
2017-04-30,redis/redis,21080
2017-05-31,redis/redis,21526
2017-06-30,redis/redis,21949
2017-07-31,redis/redis,22400
2017-08-31,redis/redis,22878
2017-09-30,redis/redis,23350
2017-10-31,redis/redis,23795
2017-11-30,redis/redis,24228
2017-12-31,redis/redis,24675
2018-01-31,redis/redis,25140
2018-02-28,redis/redis,25498
2018-03-31,redis/redis,26069
2018-04-30,redis/redis,26624
2018-05-31,redis/redis,27142
2018-06-30,redis/redis,27692
2018-07-31,redis/redis,28259
2018-08-31,redis/redis,28926
2018-09-30,redis/redis,29700
2018-10-31,redis/redis,30266
2018-11-30,redis/redis,30811
2018-12-31,redis/redis,31327
2019-01-31,redis/redis,31903
2019-02-28,redis/redis,32389
2019-03-31,redis/redis,33121
2019-04-30,redis/redis,33890
2019-05-31,redis/redis,34542
2019-06-30,redis/redis,35064
2019-07-31,redis/redis,35658
2019-08-31,redis/redis,36268
2019-09-30,redis/redis,36779
2019-10-31,redis/redis,37286
2019-11-30,redis/redis,37813
2019-12-31,redis/redis,38381
2020-01-31,redis/redis,38818
2020-02-29,redis/redis,39198
2020-03-31,redis/redis,39778
2020-04-30,redis/redis,40386
2020-05-31,redis/redis,41066
2020-06-30,redis/redis,41666
2020-07-31,redis/redis,42330
2020-08-31,redis/redis,42837
2020-09-30,redis/redis,43363
2020-10-31,redis/redis,43778
2020-11-30,redis/redis,44212
2020-12-31,redis/redis,44712
2021-01-31,redis/redis,45183
2021-02-28,redis/redis,45604
2021-03-31,redis/redis,46148
2021-04-30,redis/redis,46689
2021-05-31,redis/redis,47141
2021-06-30,redis/redis,47767
2021-07-31,redis/redis,48401
2021-08-31,redis/redis,48873
2021-09-30,redis/redis,49311
2021-10-31,redis/redis,49741
2021-11-30,redis/redis,50159
2021-12-31,redis/redis,50720
2022-01-31,redis/redis,51312
2022-02-28,redis/redis,51933
2022-03-31,redis/redis,52449
2022-04-30,redis/redis,52998
2022-05-31,redis/redis,53498
2022-06-30,redis/redis,54080
2022-07-31,redis/redis,54537
2022-08-31,redis/redis,54981
2022-09-30,redis/redis,55442
2022-10-31,redis/redis,55880
2022-11-30,redis/redis,56259
2022-12-31,redis/redis,56585
2023-01-31,redis/redis,56933
2023-02-28,redis/redis,57328
2023-03-31,redis/redis,57863
2023-04-30,redis/redis,58407
2023-05-31,redis/redis,58850
2023-06-30,redis/redis,59268
2023-07-31,redis/redis,59709
2023-08-31,redis/redis,60170
2023-09-30,redis/redis,60581
2023-10-31,redis/redis,61028
2023-11-30,redis/redis,61466
2023-12-31,redis/redis,61918
2024-01-31,redis/redis,62352
2024-02-29,redis/redis,62691
2024-03-31,redis/redis,63610
2024-04-30,redis/redis,64262
2024-05-31,redis/redis,64666
2024-06-30,redis/redis,65061
2024-07-31,redis/redis,65473
2024-08-31,redis/redis,65850
2024-09-30,redis/redis,66267
2024-10-31,redis/redis,66719
2024-11-30,redis/redis,67121
2024-12-31,redis/redis,67525
2025-01-31,redis/redis,67617
2012-02-29,jetbrains/kotlin,277
2012-03-31,jetbrains/kotlin,288
2012-04-30,jetbrains/kotlin,291
2012-05-31,jetbrains/kotlin,295
